priority,name,google_maps_directions_url,screenshot_path,status,size_bytes,captured_at_kst,notes
1,ICN T1 to COEX,https://www.google.com/maps/dir/?api=1&origin=Incheon+Airport+Terminal+1%2C+272+Gonghang-ro%2C+Yeongjong-gu%2C+Incheon&destination=COEX+Convention+%26+Exhibition+Center%2C+513+Yeongdong-daero%2C+Gangnam-gu%2C+Seoul&travelmode=transit,data/maps/screenshots/01-icn-t1-to-coex.png,available,915720,2026-07-02T05:10:49+09:00,Open in browser and capture after Google Maps finishes live route rendering.
2,Gimpo Airport to COEX,https://www.google.com/maps/dir/?api=1&origin=Gimpo+International+Airport&destination=COEX+Convention+%26+Exhibition+Center%2C+513+Yeongdong-daero%2C+Gangnam-gu%2C+Seoul&travelmode=transit,data/maps/screenshots/02-gimpo-airport-to-coex.png,available,1231715,2026-07-02T05:10:49+09:00,Open in browser and capture after Google Maps finishes live route rendering.
3,COEX to Gangnam Station,https://www.google.com/maps/dir/?api=1&origin=COEX+Convention+%26+Exhibition+Center%2C+513+Yeongdong-daero%2C+Gangnam-gu%2C+Seoul&destination=Gangnam+Station%2C+Seoul&travelmode=transit,data/maps/screenshots/03-coex-to-gangnam-station.png,available,972647,2026-07-02T05:10:49+09:00,Open in browser and capture after Google Maps finishes live route rendering.
4,COEX to OpenAI Codex Meetup,https://www.google.com/maps/dir/?api=1&origin=COEX+Convention+%26+Exhibition+Center%2C+513+Yeongdong-daero%2C+Gangnam-gu%2C+Seoul&destination=Yeoksam-ro%2C+Gangnam-gu%2C+Seoul&travelmode=transit,data/maps/screenshots/04-coex-to-openai-codex-meetup.png,available,995217,2026-07-02T05:10:49+09:00,Open in browser and capture after Google Maps finishes live route rendering.
5,COEX to Google DeepMind x GDG,https://www.google.com/maps/dir/?api=1&origin=COEX+Convention+%26+Exhibition+Center%2C+513+Yeongdong-daero%2C+Gangnam-gu%2C+Seoul&destination=Gangnam+Finance+Center+24F%2C+152+Teheran-ro%2C+Gangnam-gu%2C+Seoul&travelmode=transit,data/maps/screenshots/05-coex-to-google-deepmind-x-gdg.png,missing,0,,Open in browser and capture after Google Maps finishes live route rendering.
