date,day_label,start_time,end_time,event_type,title,session_id,session_url,room,source
2026-07-08,WED 8 JUL,4:00,5:00,Oral Session,Oral 4D Causal & Probabilistic Modeling,68659,https://icml.cc/virtual/2026/session/68659,HALL D1,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,4:00,5:00,Oral Session,Oral 4E AI for Science: Dynamical Systems and Processes,68660,https://icml.cc/virtual/2026/session/68660,GRAND BALLROOM 101 105,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,4:00,5:00,Oral Session,Oral 4F Learning Theory,68661,https://icml.cc/virtual/2026/session/68661,AUDITORIUM,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,4:00,5:00,Oral Session,Oral 4G Time Series Modeling & Sampling,68662,https://icml.cc/virtual/2026/session/68662,ASEM BALLROOM 201 203,https://icml.cc/virtual/2026/calendar
2026-07-08,WED 8 JUL,5:00,6:45,Poster Session,Poster Session 5,68689,https://icml.cc/virtual/2026/session/68689,HALL A,https://icml.cc/virtual/2026/calendar
2026-07-09,THU 9 JUL,10:00,11:00,Oral Session,Oral 5A LLM Training & Inference Efficiency,68663,https://icml.cc/virtual/2026/session/68663,HALL C,https://icml.cc/virtual/2026/calendar
2026-07-09,THU 9 JUL,10:00,11:00,Oral Session,Oral 5B Data-efficient Learning & Distillation,68664,https://icml.cc/virtual/2026/session/68664,HALL B2,https://icml.cc/virtual/2026/calendar
2026-07-09,THU 9 JUL,10:00,11:00,Oral Session,Oral 5C Reinforcement Learning,68665,https://icml.cc/virtual/2026/session/68665,HALL D2,https://icml.cc/virtual/2026/calendar
2026-07-09,THU 9 JUL,10:00,11:00,Oral Session,Oral 5D AI Evaluation & Methodology,68666,https://icml.cc/virtual/2026/session/68666,HALL D1,https://icml.cc/virtual/2026/calendar
2026-07-09,THU 9 JUL,10:00,11:00,Oral Session,"Oral 5E Theory: Optimization, Generalization, Privacy",68667,https://icml.cc/virtual/2026/session/68667,GRAND BALLROOM 101 105,https://icml.cc/virtual/2026/calendar
2026-07-09,THU 9 JUL,10:00,11:00,Oral Session,Oral 5F Graph & Federated Learning,68668,https://icml.cc/virtual/2026/session/68668,AUDITORIUM,https://icml.cc/virtual/2026/calendar
2026-07-09,THU 9 JUL,10:00,11:00,Oral Session,Oral 5G Spatial Reasoning,68669,https://icml.cc/virtual/2026/session/68669,ASEM BALLROOM 201 203,https://icml.cc/virtual/2026/calendar
2026-07-09,THU 9 JUL,10:30,12:15,Poster Session,Poster Session 6,68690,https://icml.cc/virtual/2026/session/68690,HALL A,https://icml.cc/virtual/2026/calendar
2026-07-09,THU 9 JUL,2:30,4:15,Poster Session,Poster Session 7,68691,https://icml.cc/virtual/2026/session/68691,HALL A,https://icml.cc/virtual/2026/calendar
2026-07-09,THU 9 JUL,4:00,5:00,Oral Session,Oral 6A LLMs,68670,https://icml.cc/virtual/2026/session/68670,HALL C,https://icml.cc/virtual/2026/calendar
2026-07-09,THU 9 JUL,4:00,5:00,Oral Session,Oral 6B Agentic Systems,68671,https://icml.cc/virtual/2026/session/68671,HALL B2,https://icml.cc/virtual/2026/calendar
2026-07-09,THU 9 JUL,4:00,5:00,Oral Session,Oral 6C LLM Understanding & Reliability,68672,https://icml.cc/virtual/2026/session/68672,HALL D2,https://icml.cc/virtual/2026/calendar
2026-07-09,THU 9 JUL,4:00,5:00,Oral Session,"Oral 6D Scalability, Software, Hardware",68673,https://icml.cc/virtual/2026/session/68673,HALL D1,https://icml.cc/virtual/2026/calendar
2026-07-09,THU 9 JUL,4:00,5:00,Oral Session,Oral 6E Game Theory & Big Tech,68674,https://icml.cc/virtual/2026/session/68674,GRAND BALLROOM 101 105,https://icml.cc/virtual/2026/calendar
2026-07-09,THU 9 JUL,4:00,5:00,Oral Session,Oral 6F Social Impacts: GenAI & Video,68675,https://icml.cc/virtual/2026/session/68675,AUDITORIUM,https://icml.cc/virtual/2026/calendar
2026-07-09,THU 9 JUL,4:00,5:00,Oral Session,Oral 6G Theory: Transformers & GNNs,68676,https://icml.cc/virtual/2026/session/68676,ASEM BALLROOM 201 203,https://icml.cc/virtual/2026/calendar
2026-07-09,THU 9 JUL,5:00,6:45,Poster Session,Poster Session 8,68692,https://icml.cc/virtual/2026/session/68692,HALL A,https://icml.cc/virtual/2026/calendar
